imsi | msisdn  | imei  | operatorName  | mccMnc  |   type  |  date  |  time  |   duration  |  download   |   upload   |   partyMsisbn  |  partyMccMnc
724782688480975|212350575676657|149529787547734|cellcom bee|048051|mtc|07/17/3190|02/29/22|413|820|217|447491899520522|048051
724782688480975|212350575676657|149529787547734|cellcom bee|048051|mtc|07/17/3190|02/29/22|413|820|217|447491899520522|048051
814175670701624|193585574116830|921550337309692|cellcom bee|048051|mtc|00/04/7112|13/12/33|655|080|783|837529742133456|048053
196673193483901|830579233666023|254033654912302|partner house|048053|sms-mt|08/24/5758|12/07/24|118|871|207|608901519168849|999998
897528318438125|023126957226167|976629772545579|sergio Telecom|999998|mtc|07/08/1540|12/05/45|377|265|672|986755958785488|999998
258897713282741|829594564442840|678477460988274|orange man|048052|gprs|16/25/1016|00/53/49|726|602|596|620095553273452|048051
874866659008940|561578231527171|568964749842738|sergio Telecom|999998|moc|10/00/7180|00/18/18|625|426|085|404362268369388|048051
568542086805347|771233511872370|949993214894531|orange man|048052|sms-mo|02/03/5380|03/24/23|164|854|718|601454682255072|048053
786294990573380|103568462638802|090811301578808|sergio Telecom|999998|moc|04/03/1835|02/59/42|904|803|216|124142105623290|999998
598998398631486|720885190033443|493284045009379|orange man|048052|gprs|14/22/5178|01/45/44|080|132|274|685074947319091|999998
274692725164848|454428668979290|119790963401886|sergio Telecom|999998|moc|14/23/1337|01/29/22|836|143|153|791899540056348|048051
497700315622922|935735497465723|265235266951145|cellcom bee|048051|gprs|15/13/2506|01/22/10|484|136|681|000467127445439|048053
547587011881930|032619739404835|489360181461766|sergio Telecom|999998|mtc|08/12/4343|01/16/38|962|088|609|525281263726164|048052
517325843625789|214695960806961|724676351933402|cellcom inc|048054|sms-mt|14/07/1452|01/03/41|978|316|179|826540895629342|048051
674761722332434|550022017857111|278646010263629|orange man|048052|gprs|19/21/1842|11/46/04|736|434|024|998547633052673|048053
902397141645289|197736370344137|129589295571001|orange man|048052|mtc|03/19/0466|12/39/23|296|711|723|168382313549103|048053
